...1,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,PANTRY_NAME,name,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Calvary UMC,Calvary UMC,304 E. Trinity Ave.,36.00502,-78.89141,https://calvarymethodist.org,"All,Eastway Elementary,Lakewood Middle"
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Christian Assembly,Christian Assembly,5516 N. Roxboro St.,36.0776,-78.91007,https://www.cadurham.org,"All,Lakewood Middle"
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Church at the Park,Church at the Park,"228 Page Rd, Suite 108",35.87917,-78.84656,https://www.church-at-the-park.org,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Church of Philadelphia,Church of Philadelphia,1309 Jackson St.,35.99545,-78.92028,https://www.thechurchofphila.com,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle"
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,DCSL-  Food for Kitchen-less Seniors,DCSL-  Food for Kitchen-less Seniors,406 Rigsbee Ave,35.9994,-78.89937,http://www.dcslnc.org/,"All,Brogden Middle,Lakewood Middle,Riverside High"
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,Divine Grace Fellowship and Outreach Ministry,Divine Grace Fellowship and Outreach Ministry,"1500 E Club Blvd, Bldg 100",36.02753,-78.869,https://www.churchfinder.com/churches/nc/durham/divine-grace-fellowship-outreach-ministry,"All,Lakewood Middle"
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Durham Center for Senior Life,Durham Center for Senior Life,406 Rigsbee Ave.,35.99938,-78.89937,https://dcslnc.org,"All,Brogden Middle,Lakewood Middle,Riverside High"
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Durham Community Food Pantry,Durham Community Food Pantry,"2020 Chapel Hill St., Suite 30",35.98949,-78.92789,https://www.catholiccharitiesraleigh.org/dcfp/,"All,Brogden Middle,Jordan High,Lakewood Elementary,Lakewood Middle"
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,Durham Spanish SDA Church,Durham Spanish SDA Church,1606 Liberty St.,35.99113,-78.87415,https://durhamspanishnc.adventistchurch.org,"All,Lakewood Middle"
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Elizabeth Street UMC,Elizabeth Street UMC,"304 E. Trinity Ave., Durham, 27701",36.00507,-78.89141,https://elizabethstreetumc.org/,"All,Eastway Elementary School,Lucas Middle School,Northern High School,Holt Elementary Language Academy"
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Emmanuel Tabernacle Holiness,Emmanuel Tabernacle Holiness,2525 Atlantic St.,35.96947,-78.90346,https://www.facebook.com/emmanueltabernacle.church,"All,Fayetteville Street Elementary,Hillside High,Lakewood Middle"
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Feed My Sheep,Feed My Sheep,107 N. Driver St.,35.98638,-78.87805,https://www.facebook.com/feedmysheepofdurham/,"All,Lakewood Middle"
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,First Calvary Baptist Church,First Calvary Baptist Church,1311 Morehead Ave.,35.99191,-78.91929,https://www.firstcalvary.org/,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle"
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Fisher Memorial United Holy Church,Fisher Memorial United Holy Church,420 E. Piedmont Ave.,35.98421,-78.90063,https://www.discoverdurham.com/directory/fisher-memorial-united-holy-church-of-america/,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle"
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,Grace Church of Durham,Grace Church of Durham,1417 Cole Mill Rd.,36.03251,-78.954,https://gracecod.org,"All,Brogden Middle,Hillandale Elementary,Lakewood Middle,Riverside High"
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,Grace Outreach Enrichment Ministry,Grace Outreach Enrichment Ministry,612 Gary St.,35.99094,-78.87011,https://www.findhelp.org/grace-outreach-enrichment-ministry--durham-nc--food-and-clothing-program/5730651112734720?postal=27703,"All,Lakewood Middle"
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,Greater Refuge Temple,Greater Refuge Temple,1438 Maplewood Dr.,36.03237,-78.86588,http://www.greaterrefugeofdurhamnc.com,"All,Lakewood Middle"
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,Greystone Baptist (Second Mile Ministries),Greystone Baptist (Second Mile Ministries),2601 Hillsborough Rd.,36.01025,-78.92936,https://www.greystonechurch.com/2nd-mile,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Hannah's Kitchen @ Greater Orange Grove Baptist,Hannah's Kitchen @ Greater Orange Grove Baptist,"5524 N Roxboro St., Durham, NC 27712",36.04483,-78.902,https://www.handsontriangle.org/need/detail/?need_id=572142,"All,Eno Valley Elementary School,Carrington Middle School,Northern High School,Easley Elementary School"
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,Hope Church International,Hope Church International,1203 Holloway St.,35.99454,-78.87971,https://www.facebook.com/HopeChurchInternational/#!/HopeChurchInternational/,"All,Eastway Elementary,Lakewood Middle"
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,Iglesia Buen Pastor (IFFS),Iglesia Buen Pastor (IFFS),1852 Liberty St.,35.98996,-78.86859,https://durham.nc.networkofcare.org/mh/services/agency.aspx?pid=elbuenpastorepiscopalchurch_371_2_0,"All,Lakewood Middle"
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,Iglesia Presbiteriana Emanuel,Iglesia Presbiteriana Emanuel,2504 N. Roxboro St.,36.02186,-78.88951,https://durhamchurchnc.org/emanuel/,"All,Lakewood Middle"
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,Immanuel Temple Seventh Day Adventist Church,Immanuel Temple Seventh Day Adventist Church,2104 S. Alston Ave,35.96163,-78.88739,https://www.immanueltemplechurch.com,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,Jesus Word Church - City of Jesus,Jesus Word Church - City of Jesus,1321 Humphrey St.,35.98223,-78.88759,https://www.discoverdurham.com/directory/jesus-word-church/,"All,Lakewood Middle"
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,Jewish for Good,Jewish for Good,1937 Cornwallis Rd.,35.97933,-78.95566,https://www.jewishforgood.org,"All,Brogden Middle,Forest View Elementary,Jordan High,Lakewood Middle"
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,Jonathan's Outreach Network,Jonathan's Outreach Network,302 S. Driver St.,35.9829,-78.87769,https://ncindex.com/biz/1201816/jons-jonathan-s-outreach-network-services-inc,"All,Lakewood Middle"
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,Living Waters Christian Community,Living Waters Christian Community,"1104 Lynn Rd, Durham",35.97226,-78.8481,https://lwccnc.com/,"All,Lakewood Middle"
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Ministerios Guerreros de Jesus Cristo International,Ministerios Guerreros de Jesus Cristo International,1800 N. Roxboro St.,36.01297,-78.89087,https://www.guerrerodejesucristo.org,"All,Eastway Elementary,Lakewood Middle"
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,Monument of Faith Church,Monument of Faith Church,900 Simmons St.,35.98174,-78.89397,http://www.mof-church.org,"All,Jordan High,Lakewood Middle"
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,Mt Bethel United Methodist Church,Mt Bethel United Methodist Church,"1605 Bahama Rd, Bahama NC",36.16698,-78.87626,https://mountbethelumc.com/food-pantry/,"All,Lakewood Middle"
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,Mt. Calvary United Church of Christ,Mt. Calvary United Church of Christ,1715 Athens St.,35.96859,-78.89091,https://durham.nc.networkofcare.org/mh/services/agency.aspx?pid=mountcalvaryunitedchurchofchrist_371_2_0,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,"Mt. Level Missionary Baptist (Two Fish, Five Loaves )","Mt. Level Missionary Baptist (Two Fish, Five Loaves )",316 Hebron Rd.,36.05869,-78.89513,https://www.freefood.org/l/nc_27704_two-fish-five-loaves,"All,Lakewood Middle,Riverside High"
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,Mt. Zion Christian Church,Mt. Zion Christian Church,3519 Fayetteville St.,35.95632,-78.90641,https://mountzionchristianchurch.com,"All,Fayetteville Street Elementary,Hillside High,Lakewood Middle,Lowes Grove Middle"
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Nehemiah Christian Center,Nehemiah Christian Center,514 North Mangum St.,35.99756,-78.89783,https://durham.nc.networkofcare.org/mh/services/agency.aspx?pid=nehemiahchristianchurch_371_2_0,"All,Brogden Middle,Lakewood Middle,Riverside High"
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,New Home & Durham Baptist Association,New Home & Durham Baptist Association,6611 Guess Rd.,36.12366,-78.9424,https://newhomeanddurhamassociation.com,"All,Lakewood Middle"
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,Oak Grove Free Will Baptist Church,Oak Grove Free Will Baptist Church,1008 Simmons St.,35.98174,-78.89257,https://www.discoverdurham.com/directory/oak-grove-free-will-baptist/,"All,Jordan High,Lakewood Middle"
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,Obedience to the Word Church,Obedience to the Word Church,"644 Bon Air Ave, Durham",36.03083,-78.88295,https://www.obediencetotheword.org/,"All,Lakewood Middle"
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,Project of Hope Pantry @ World Overcomer's Church,Project of Hope Pantry @ World Overcomer's Church,"2933 S. Miami Blvd, Durham NC",35.92626,-78.84558,https://www.worldovercomers.church/,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,Rougemont Community Food Pantry (Rougemont UMC),Rougemont Community Food Pantry (Rougemont UMC),"105 Red Mountain Rd, Rougemont NC",36.21841,-78.92609,https://www.foodpantries.org/li/rougemont-food-pantry,"All,Lakewood Middle"
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,Russell Memorial CME Church,Russell Memorial CME Church,703 S. Alston Ave.,35.97985,-78.89092,http://russellmemorialcme.com,"All,Hillside High,Lakewood Middle,Lowes Grove Middle"
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,Salvation Army,Salvation Army,909 Liberty St.,35.99315,-78.8854,https://www.salvationarmyusa.org/usn/,"All,Brogden Middle,Eastway Elementary,Lakewood Middle"
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,"Seed Time & Harvest Fellowship, Inc","Seed Time & Harvest Fellowship, Inc","804 Berwyn Ave, Durham",36.03367,-78.88038,https://www.facebook.com/STHFInc/,"All,Lakewood Middle"
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,St. Joseph AME Church,St. Joseph AME Church,2521 Fayetteville St.,35.96878,-78.90167,https://www.stjosephame.org,"All,Fayetteville Street Elementary,Hillside High,Lakewood Middle"
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Such A Much Ministries,Such A Much Ministries,"2606 Camellia Dr., Apt. E",36.0467,-78.93157,https://m.facebook.com/SuchAMuchMinistries/,"All,Brogden Middle,Hillandale Elementary,Lakewood Middle,Riverside High"
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,United for Christ - Child's Cry Pantry,United for Christ - Child's Cry Pantry,4005 Holt School Rd.,36.05489,-78.9069,NA,"All,Lakewood Middle,Riverside High"
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,Walltown Ministries (including St. John Missionary Baptist),Walltown Ministries (including St. John Missionary Baptist),Asbury Methodist Church 806 Clarendon St,36.01023,-78.91802,http://www.stjohnsdurhamnc.org,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Middle,Riverside High"
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,"West End Mobile Market at Duke United Methodist, Collaborative Community Pantry (IFFS)","West End Mobile Market at Duke United Methodist, Collaborative Community Pantry (IFFS)",504 W. Chapel Hill St.,35.9974,-78.90956,NA,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Middle"
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,White Rock Baptist Church,White Rock Baptist Church,3400 Fayetteville St.,35.95838,-78.91031,https://www.whiterockbaptistchurch.org,"All,Fayetteville Street Elementary,Hillside High,Lakewood Middle,Lowes Grove Middle"
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,Word Empowerment Church,Word Empowerment Church,"2403 Lednum St., Durham, NC 27705",36.02801,-78.9103,https://www.facebook.com/WordEmpowermentChurch/,"All,Eno Valley Elementary School,Carrington Middle School,Northern High School,Easley Elementary School"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
